zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
85022,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.62,-112.05,Phoenix,40980
85023,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.63,-112.09,Phoenix,29200
85024,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.68,-112.04,Phoenix,22680
85025,STANDARD,1,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.45,-112.07,Phoenix,0
85026,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623,480",NA,US,33.45,-111.97,Phoenix,0
85027,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"928,623",NA,US,33.68,-112.09,Phoenix,32940
85028,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602",NA,US,33.56,-112,Phoenix,18790
85029,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.59,-112.1,Phoenix,37890
85030,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.45,-112.07,Phoenix,186
85031,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.49,-112.16,Phoenix,27430
85032,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"480,602",NA,US,33.62,-112,Phoenix,56480
85033,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.49,-112.21,Phoenix,51030
85034,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,############,NA,US,33.43,-112.01,Phoenix,4020
85035,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,"602,623",NA,US,33.47,-112.19,Phoenix,45100
85036,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.63,-112.15,Phoenix,1030
85037,STANDARD,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,623,NA,US,33.48,-112.25,Phoenix,45850
85038,PO BOX,0,Phoenix,,,AZ,Maricopa County,America/Phoenix,602,NA,US,33.46,-111.98,Phoenix,38
