zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
30320,PO BOX,0,Atlanta,,"Atl, Logistics & Distribution Ctr",GA,Clayton County,America/New_York,404,NA,US,33.63,-84.43,Atlanta,312
30321,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.75,-84.38,Atlanta,1247
30322,UNIQUE,0,Atlanta,,"Atl, Emory University",GA,DeKalb County,America/New_York,678,NA,US,33.79,-84.33,Atlanta,252
30324,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,############,NA,US,33.81,-84.36,Atlanta,23340
30325,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.79,-84.44,Atlanta,475
30326,STANDARD,0,Atlanta,Brookhaven,Atl,GA,Fulton County,America/New_York,############,NA,US,33.85,-84.36,Atlanta,6150
30327,STANDARD,0,Atlanta,"Sandy Spgs, Sandy Springs",Atl,GA,Fulton County,America/New_York,############,NA,US,33.86,-84.42,Atlanta,21940
30328,STANDARD,0,Atlanta,"Sandy Spgs, Sandy Springs",Atl,GA,Fulton County,America/New_York,############,NA,US,33.93,-84.38,Atlanta,34380
30329,STANDARD,0,Atlanta,Brookhaven,"Atl, Briarcliff",GA,DeKalb County,America/New_York,"404,470",NA,US,33.82,-84.32,Atlanta,23410
30330,UNIQUE,1,Atlanta,"Fort Mcpherson, Ft Mcpherson",Atl,GA,Fulton County,America/New_York,678,NA,US,33.7,-84.43,Atlanta,121
30331,STANDARD,0,Atlanta,South Fulton,Atl,GA,Fulton County,America/New_York,404,NA,US,33.71,-84.53,Atlanta,46720
30332,UNIQUE,0,Atlanta,,"Atl, Georgia Tech",GA,Fulton County,America/New_York,404,NA,US,33.78,-84.4,Atlanta,793
30333,PO BOX,0,Atlanta,,"Atl, Druid Hills",GA,Fulton County,America/New_York,404,NA,US,33.79,-84.32,Atlanta,198
30334,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,############,NA,US,33.75,-84.39,Atlanta,257
30336,STANDARD,0,Atlanta,South Fulton,"Atl, Industrial",GA,Fulton County,America/New_York,404,NA,US,33.74,-84.57,Atlanta,1370
30337,STANDARD,0,Atlanta,"College Park, South Fulton",Atl,GA,Fulton County,America/New_York,"404,678,770",NA,US,33.64,-84.46,Atlanta,8580
30338,STANDARD,0,Atlanta,"Dunwoody, Sandy Spgs, Sandy Springs","Atl, North Springs",GA,DeKalb County,America/New_York,############,NA,US,33.94,-84.31,Atlanta,34840
30339,STANDARD,0,Atlanta,"Sandy Spgs, Sandy Springs, Vinings","Atl, Cumberland, Overlook Sru, Vinnings",GA,Cobb County,America/New_York,############,NA,US,33.86,-84.47,Atlanta,25130
30340,STANDARD,0,Atlanta,Doraville,Atl,GA,DeKalb County,America/New_York,"678,470,770",NA,US,33.89,-84.25,Atlanta,25050
30341,STANDARD,0,Atlanta,Chamblee,Atl,GA,DeKalb County,America/New_York,############,NA,US,33.9,-84.3,Atlanta,27350
30342,STANDARD,0,Atlanta,"Sandy Spgs, Sandy Springs","Atl, Tuxedo",GA,Fulton County,America/New_York,############,NA,US,33.88,-84.37,Atlanta,27680
30343,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.75,-84.38,Atlanta,260
30344,STANDARD,0,Atlanta,East Point,Atl,GA,Fulton County,America/New_York,"404,678,770",NA,US,33.68,-84.46,Atlanta,26670
30345,STANDARD,0,Atlanta,,Atl,GA,DeKalb County,America/New_York,"770,470,678",NA,US,33.85,-84.28,Atlanta,21850
30346,STANDARD,0,Atlanta,Dunwoody,Atl,GA,DeKalb County,America/New_York,############,NA,US,33.92,-84.34,Atlanta,4870
30347,STANDARD,1,Atlanta,"Atl, Executive Park",,GA,Fulton County,America/New_York,404,NA,US,33.82,-84.33,Atlanta,242
30348,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.83,-84.38,Atlanta,41
30349,STANDARD,0,Atlanta,"College Park, South Fulton",Atl,GA,Fulton County,America/New_York,"404,678,770",NA,US,33.61,-84.49,Atlanta,66560
30350,STANDARD,0,Atlanta,"Dunwoody, Sandy Spgs, Sandy Springs",Atl,GA,Fulton County,America/New_York,"404,770,678",NA,US,33.97,-84.32,Atlanta,28970
30353,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.75,-84.38,Atlanta,0
30354,STANDARD,0,Atlanta,Hapeville,Atl,GA,Fulton County,America/New_York,"770,404,678",NA,US,33.66,-84.39,Atlanta,12290
30355,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.83,-84.36,Atlanta,836
30356,PO BOX,0,Atlanta,Dunwoody,Atl,GA,Fulton County,America/New_York,404,NA,US,33.94,-84.33,Atlanta,418
30357,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.79,-84.38,Atlanta,646
30358,PO BOX,0,Atlanta,"Sandy Spgs, Sandy Springs",Atl,GA,Fulton County,America/New_York,404,NA,US,33.76,-84.42,Atlanta,702
30359,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.82,-84.32,Atlanta,549
30360,STANDARD,0,Atlanta,"Doraville, Dunwoody","Atl, Winters Chapel",GA,DeKalb County,America/New_York,############,NA,US,33.93,-84.27,Atlanta,13510
30361,STANDARD,0,Atlanta,,Atl,GA,Fulton County,America/New_York,"404,678,770",NA,US,33.78,-84.38,Atlanta,58
30362,PO BOX,0,Atlanta,Doraville,Atl,GA,Fulton County,America/New_York,404,NA,US,33.76,-84.42,Atlanta,981
30363,STANDARD,0,Atlanta,,,GA,Fulton County,America/New_York,404,NA,US,33.79,-84.4,Atlanta,2240
30364,PO BOX,0,Atlanta,East Point,Atl,GA,Fulton County,America/New_York,404,NA,US,33.67,-84.46,Atlanta,880
30366,PO BOX,0,Atlanta,Chamblee,Atl,GA,Fulton County,America/New_York,404,NA,US,33.88,-84.29,Atlanta,375
30368,UNIQUE,0,Atlanta,,"Atl, Suntrust",GA,Fulton County,America/New_York,404,NA,US,33.76,-84.42,Atlanta,0
30369,STANDARD,0,Atlanta,,,GA,Fulton County,America/New_York,"678,404,470",NA,US,33.8,-84.47,Atlanta,0
30370,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.75,-84.38,Atlanta,0
30371,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.76,-84.42,Atlanta,0
30374,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.57,-84.39,Atlanta,0
30375,UNIQUE,0,Atlanta,,"Atl, Att Bellsouth",GA,Fulton County,America/New_York,404,NA,US,33.77,-84.38,Atlanta,0
30376,STANDARD,1,Atlanta,Atl,,GA,Fulton County,America/New_York,404,NA,US,33.81,-84.35,Atlanta,0
30377,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.76,-84.42,Atlanta,286
30378,PO BOX,0,Atlanta,,Atl,GA,Fulton County,America/New_York,404,NA,US,33.76,-84.42,Atlanta,0
30379,STANDARD,1,Atlanta,Atl,,GA,Fulton County,America/New_York,404,NA,US,33.74,-84.38,Atlanta,0
