zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,Metro,irs_estimated_population
55405,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,"612,763,952",NA,US,44.97,-93.3,Minneapolis,12820
55406,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.94,-93.22,Minneapolis,31510
55407,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.94,-93.25,Minneapolis,33960
55408,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.94,-93.29,Minneapolis,26810
55409,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.93,-93.28,Minneapolis,10700
55410,STANDARD,0,Minneapolis,Edina,,MN,Hennepin County,America/Chicago,"612,952",NA,US,44.91,-93.32,Minneapolis,20200
55411,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,45,-93.3,Minneapolis,25810
55412,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,45.03,-93.3,Minneapolis,20190
55413,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,45,-93.24,Minneapolis,10610
55414,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,44.98,-93.23,Minneapolis,13420
55415,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,############,NA,US,44.97,-93.26,Minneapolis,3380
55416,STANDARD,0,Minneapolis,"Edina, Golden Valley, Saint Louis Park, St Louis Park",,MN,Hennepin County,America/Chicago,612,NA,US,44.95,-93.34,Minneapolis,30180
55417,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,612,NA,US,44.9,-93.23,Minneapolis,24250
55418,STANDARD,0,Minneapolis,"Saint Anthony, St Anthny Vlg, St Anthony, St Anthony Village",,MN,Hennepin County,America/Chicago,############,NA,US,45.02,-93.24,Minneapolis,27860
55419,STANDARD,0,Minneapolis,,,MN,Hennepin County,America/Chicago,"612,952",NA,US,44.91,-93.29,Minneapolis,26690
55420,STANDARD,0,Minneapolis,Bloomington,,MN,Hennepin County,America/Chicago,952,NA,US,44.84,-93.28,Minneapolis,21440
55421,STANDARD,0,Minneapolis,"Columbia Heights, Columbia Hts, Fridley, Hilltop, Saint Anthony","St Anthony, St Anthony Village",MN,Anoka County,America/Chicago,############,NA,US,45.05,-93.25,Minneapolis,26750
55422,STANDARD,0,Minneapolis,"Crystal, Golden Valley, Robbinsdale",,MN,Hennepin County,America/Chicago,"763,952",NA,US,45.01,-93.34,Minneapolis,26250
